keyword,genre,video_id,title,channel,published_at,view_count,like_count,comment_count,url,like_rate,comment_rate
펜트하우스,불륜복수,KARPb2-QtcQ,"[#습드소] (SUB) ""엄마처럼 살지 마.. 너는 꼭 행복해야 돼... 사랑한다"" 천서진, 하은별 모녀의 최후 | 펜트하우스3(Penthouse3) | SBS DRAMA",SBS 스브스 Drama,2021-09-13T02:00:03Z,2912199,28837,1804,https://www.youtube.com/watch?v=KARPb2-QtcQ,0.9902139242544895,0.06194631616864095
펜트하우스,불륜복수,HMFoA4RcEes,[#습드소] (SUB) 주단퉷에게 세상 착하게 침 뱉는 천서진❤ (ft. 주단탱 꾸러기 표정 금지) | 펜트하우스2(Penthouse2) | SBS DRAMA,SBS 스브스 Drama,2021-03-16T02:00:01Z,1055038,8436,667,https://www.youtube.com/watch?v=HMFoA4RcEes,0.7995920526085316,0.06322047167969305
펜트하우스,불륜복수,bKBA5U3G_KA,"[요약] 정뚝떨 is 과학! 민혁X규진, 정떨어지는 순간들😫 #펜트하우스2 #SBScatch",SBS Catch,2021-03-12T09:30:03Z,2438215,20519,1486,https://www.youtube.com/watch?v=bKBA5U3G_KA,0.8415582711122687,0.060946225004767825
펜트하우스,불륜복수,djAQuCkLFcM,펜트하우스 시즌1 종영 기념 미방영 Full 영상을 공개합니다!!ヾ(￣▽￣) Bye~Bye~  #펜트하우스 #SBScatch,SBS Catch,2021-01-07T09:14:18Z,3955034,54565,2639,https://www.youtube.com/watch?v=djAQuCkLFcM,1.3796341573801894,0.06672509010036323
펜트하우스,불륜복수,NsIqzLTo8a0,[펜트하우스] 스페셜 '이대로 가면 결말 하드캐리 각! 사이다 모음' / 'The Penthouse' Special | SBS NOW,SBS ,2020-12-18T11:30:12Z,2501160,20042,1053,https://www.youtube.com/watch?v=NsIqzLTo8a0,0.8013081929984487,0.04210046538406179
펜트하우스,불륜복수,gM8IsD1GLsA,[스페셜] 보는 내내 통쾌한 펜트하우스 사이다 모음집★ㅣ펜트하우스(Penthouse)ㅣSBS DRAMA,SBS 스브스 Drama,2020-12-18T12:01:00Z,3272488,21601,932,https://www.youtube.com/watch?v=gM8IsD1GLsA,0.6600788146511156,0.028479859971984618
펜트하우스,불륜복수,rgkS738QFpU,[#습드소] 심수련❤석남매 행복길만 걷쟈❁´▽`❁ (ft. 석남매에 진심이었던 나애교) | 펜트하우스2(Penthouse2) | SBS DRAMA,SBS 스브스 Drama,2021-03-31T01:45:01Z,3397397,30572,1280,https://www.youtube.com/watch?v=rgkS738QFpU,0.8998653969494881,0.03767590305165984
펜트하우스,불륜복수,JS3ec-lLRQ4,펜트하우스2 13회 요약 | 증거 다 있는데 발뺌해? 정신 못차린 사람들 혼쭐내주기 성공한 심수련😎 #펜트하우스2 #ThePenthouse2 #SBSdrama,SBS 스브스 Drama,2024-04-18T08:00:11Z,598669,3551,194,https://www.youtube.com/watch?v=JS3ec-lLRQ4,0.5931491358329894,0.032405218910616714
펜트하우스,불륜복수,MMRKy_Lj4pk,[메이킹 몰아보기] 펜트하우스 시즌3 오래오래 기억하실 분? 싹싹 긁어 모은 시즌3 메이킹 복습하면서 추억합시다♥ #펜트하우스 #SBSCatch,SBS Catch,2021-10-01T06:30:03Z,698939,7571,343,https://www.youtube.com/watch?v=MMRKy_Lj4pk,1.083213270399849,0.04907438274298616
펜트하우스,불륜복수,njrtsAEiIyc,[펜트하우스2] '심수련이 살아 돌아오기라도 한 줄 알았어? 주단태의 X와이프 나애교 등장!' / 'The Penthouse2' Special | SBS NOW,SBS ,2021-03-15T07:14:32Z,5717856,33429,1844,https://www.youtube.com/watch?v=njrtsAEiIyc,0.5846422155437282,0.0322498502935366
