video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
PVB1Oa-ZZTo,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 김두관 더불어민주당 의원 | 쿠팡플레이 | 쿠팡,2023-09-17T10:00:26Z,PT4M29S,269,46710,427,87,0.9142,0.1863,기타SNL,False,2026-05-19T03:49:37.773655+00:00
LxIhG4ZlBNc,SNL 코리아 시즌4 | 다니엘 헤니 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡,2023-09-17T10:00:19Z,PT5M14S,314,3525729,23643,1387,0.6706,0.0393,기타SNL,True,2026-05-19T03:49:37.773673+00:00
0K89knJO0MU,SNL 코리아 시즌4 | 다니엘 헤니 편 하이라이트 | 마늘밭 그 사나이 | 쿠팡플레이 | 쿠팡,2023-09-17T10:00:01Z,PT5M3S,303,1091521,8161,518,0.7477,0.0475,기타SNL,True,2026-05-19T03:49:37.773691+00:00
Sy5bAvis2-4,SNL 코리아 시즌 4 | 다니엘 헤니 편 | 9월 16일 쿠팡플레이에서 만나요 | 쿠팡플레이 | 쿠팡,2023-09-16T03:00:14Z,PT45S,45,32036,266,22,0.8303,0.0687,기타SNL,False,2026-05-19T03:49:37.773727+00:00
2qPtfSkL85s,SNL 코리아 시즌4 | 장기하 편 | 오프닝 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-11T09:30:00Z,PT33S,33,72478,1156,15,1.595,0.0207,기타SNL,False,2026-05-19T03:49:37.773745+00:00
Rcch7wcIcps,SNL 코리아 시즌4 | 장기하 편 | 흑심 냉장고 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-10T09:30:13Z,PT58S,58,52449,415,12,0.7912,0.0229,기타SNL,False,2026-05-19T03:49:37.773781+00:00
-JLzROA9Zf4,SNL 코리아 시즌4 | 장기하 편 | 경제학개론 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-09T10:00:01Z,PT51S,51,48146,419,12,0.8703,0.0249,기타SNL,False,2026-05-19T03:49:37.773817+00:00
1GkXT9b_Er8,SNL 코리아 시즌4 | 장기하 편 | 월 1000 N잡러 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-08T09:30:02Z,PT56S,56,63892,744,18,1.1645,0.0282,기타SNL,False,2026-05-19T03:49:37.773889+00:00
ngyQehxnxuU,SNL 코리아 시즌4 | 장기하 편 | 위켄드 업데이트 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-09-03T10:00:28Z,PT57S,57,380497,5951,254,1.564,0.0668,위켄드 업데이트,False,2026-05-19T03:49:38.063551+00:00
eawyp3mq8Wo,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 나경원 전 국민의힘 의원 | 쿠팡플레이 | 쿠팡,2023-09-03T10:00:25Z,PT4M41S,281,302296,2515,386,0.832,0.1277,기타SNL,False,2026-05-19T03:49:38.063570+00:00
